('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         954620 function calls (927560 primitive calls) in 4.112 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       12    0.001    0.000    0.202    0.017 subprocess.py:1177(communicate)
     3534    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     4528    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
    354/7    0.001    0.000    0.559    0.080 <frozen importlib._bootstrap_external>:1020(exec_module)
      996    0.001    0.000    0.002    0.000 _parser.py:448(_uniq)
   909/12    0.001    0.000    0.557    0.046 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      226    0.001    0.000    0.011    0.000 _compiler.py:514(_compile_info)
     3430    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
     2942    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     3743    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     1099    0.001    0.000    0.002    0.000 _parser.py:311(_class_escape)
      226    0.001    0.000    0.157    0.001 _compiler.py:743(compile)
     3952    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1886    0.001    0.000    0.002    0.000 typing.py:1294(_is_dunder)
     1406    0.001    0.000    0.002    0.000 filter.py:627(_match_attribute_value_helper)
     2758    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       51    0.001    0.000    1.057    0.021 __init__.py:1(<module>)
     1437    0.001    0.000    0.002    0.000 _parser.py:171(__setitem__)
       13    0.001    0.000    0.003    0.000 subprocess.py:1294(_close_pipe_fds)
      165    0.001    0.000    0.008    0.000 typing.py:753(Union)
    56/16    0.001    0.000    0.018    0.001 css_parser.py:925(parse_selectors)
     2744    0.001    0.000    0.001    0.000 filter.py:292(matches_string)
      354    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
     7083    0.001    0.000    0.001    0.000 element.py:2227(__bool__)
     3980    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     1163    0.001    0.000    0.001    0.000 {built-in method fromkeys}
     1649    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     3534    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
        1    0.001    0.001    3.215    3.215 financial.py:14(get_response)
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
      226    0.001    0.000    0.093    0.000 _parser.py:970(parse)
      849    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
     1760    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
     4337    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
       21    0.001    0.000    0.001    0.000 url.py:227(_encode_invalid_chars)
       13    0.001    0.000    0.005    0.000 enum.py:894(_convert_)
      575    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
     3533    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      798    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
  387/384    0.001    0.000    0.049    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      383    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
     3499    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
      132    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
       13    0.001    0.000    0.003    0.000 subprocess.py:1703(_get_handles)
     2078    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      575    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
       39    0.001    0.000    0.004    0.000 enum.py:498(__new__)
     3280    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
      220    0.001    0.000    0.002    0.000 enum.py:1603(__and__)
     2078    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
       79    0.001    0.000    0.005    0.000 css_parser.py:472(parse_attribute_selector)
      894    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
      383    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
     3073    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
     1075    0.001    0.000    0.002    0.000 _compiler.py:401(_simple)
      575    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
      167    0.001    0.000    0.001    0.000 enum.py:354(__setitem__)
       68    0.001    0.000    0.001    0.000 enum.py:251(__set_name__)
      387    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       14    0.001    0.000    0.001    0.000 {built-in method _io.open}
     1017    0.001    0.000    0.001    0.000 enum.py:1585(_get_value)
       26    0.001    0.000    0.001    0.000 contextlib.py:534(callback)
        1    0.001    0.001    0.005    0.005 packages.py:1(<module>)
       37    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      445    0.001    0.000    0.001    0.000 enum.py:825(__setattr__)
     3073    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
      420    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      585    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      420    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      266    0.001    0.000    0.002    0.000 typing.py:260(_collect_type_parameters)
      417    0.001    0.000    0.001    0.000 __init__.py:101(find_spec)
        7    0.001    0.000    2.581    0.369 connection.py:534(getresponse)
       16    0.001    0.000    0.002    0.000 feedparser.py:218(_parsegen)
     1416    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      165    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
       91    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      883    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
      921    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
  355/352    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      424    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:416(__enter__)
       10    0.000    0.000    0.111    0.011 utils.py:26(windows_browser_apps_to_cmd)
   123/64    0.000    0.000    0.001    0.000 {built-in method _abc._abc_subclasscheck}
       49    0.000    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
        4    0.000    0.000    0.000    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     1658    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1211    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
       99    0.000    0.000    0.001    0.000 <frozen _collections_abc>:808(get)
      536    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
      226    0.000    0.000    0.062    0.000 _compiler.py:576(_code)
      405    0.000    0.000    0.001    0.000 enum.py:695(__call__)
      575    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       52    0.000    0.000    0.000    0.000 {built-in method posix.close}
        9    0.000    0.000    0.003    0.000 typing.py:2998(__new__)
      413    0.000    0.000    0.050    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
  259/204    0.000    0.000    0.001    0.000 _compiler.py:439(_get_literal_prefix)
      252    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
  922/820    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      412    0.000    0.000    0.001    0.000 _parser.py:264(getwhile)
      102    0.000    0.000    0.001    0.000 functools.py:36(update_wrapper)
      262    0.000    0.000    0.002    0.000 typing.py:1307(__init__)
      355    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
