Error: name 'Options' is not defined
         453519 function calls (429250 primitive calls) in 0.416 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       75    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_iscased}
       75    0.000    0.000    0.001    0.000 css_parser.py:542(parse_tag_pattern)
       75    0.000    0.000    0.000    0.000 css_types.py:251(__init__)
       70    0.000    0.000    0.000    0.000 enum.py:760(__delattr__)
    70/50    0.000    0.000    0.000    0.000 typing.py:1773(__hash__)
       70    0.000    0.000    0.000    0.000 {built-in method builtins.delattr}
       69    0.000    0.000    0.001    0.000 typing.py:1023(__init__)
       69    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       69    0.000    0.000    0.000    0.000 status_codes.py:122(<genexpr>)
       68    0.000    0.000    0.000    0.000 functools.py:36(update_wrapper)
       68    0.000    0.000    0.000    0.000 status_codes.py:116(doc)
       66    0.000    0.000    0.000    0.000 __init__.py:26(__new__)
       64    0.000    0.000    0.000    0.000 enum.py:354(__setitem__)
       62    0.000    0.000    0.000    0.000 {built-in method _sre.ascii_tolower}
       58    0.000    0.000    0.000    0.000 typing.py:351(_deduplicate)
       57    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
       57    0.000    0.000    0.003    0.000 typing.py:753(Union)
       57    0.000    0.000    0.000    0.000 typing.py:379(_remove_dups_flatten)
       56    0.000    0.000    0.000    0.000 ipaddress.py:533(_split_addr_prefix)
       56    0.000    0.000    0.000    0.000 ipaddress.py:156(_split_optional_netmask)
    56/16    0.001    0.000    0.018    0.001 css_parser.py:925(parse_selectors)
       54    0.000    0.000    0.000    0.000 __init__.py:305(escape)
       54    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
       52    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
       52    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
       52    0.000    0.000    0.001    0.000 typing.py:1658(copy_with)
       52    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
       52    0.000    0.000    0.000    0.000 ipaddress.py:1930(__init__)
       51    0.000    0.000    0.000    0.000 enum.py:1435(_iter_member_by_value_)
       51    0.000    0.000    0.000    0.000 enum.py:115(_iter_bits_lsb)
       47    0.000    0.000    0.000    0.000 {method 'issuperset' of 'frozenset' objects}
       47    0.000    0.000    0.000    0.000 ipaddress.py:1765(_parse_hextet)
       46    0.000    0.000    0.002    0.000 typing.py:1634(__getitem__)
    44/32    0.000    0.000    0.014    0.000 css_parser.py:579(parse_pseudo_class)
       43    0.000    0.000    0.000    0.000 typing.py:1105(__hash__)
       42    0.000    0.000    0.000    0.000 enum.py:91(_is_single_bit)
       41    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
       40    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
       40    0.000    0.000    0.000    0.000 enum.py:795(<genexpr>)
    40/31    0.000    0.000    0.014    0.000 css_parser.py:746(parse_pseudo_open)
       39    0.000    0.000    0.000    0.000 functools.py:544(decorating_function)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1641(_make_netmask)
       35    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
       35    0.000    0.000    0.000    0.000 ipaddress.py:1895(_split_scope_id)
       35    0.000    0.000    0.001    0.000 ipaddress.py:2307(__init__)
       35    0.000    0.000    0.000    0.000 ipaddress.py:1661(_ip_int_from_string)
       34    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       34    0.001    0.000    0.001    0.000 {method 'search' of 're.Pattern' objects}
       34    0.000    0.000    0.000    0.000 enum.py:1055(_add_member_)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
    30/29    0.000    0.000    0.000    0.000 <frozen abc>:121(__subclasscheck__)
       30    0.000    0.000    0.000    0.000 {method 'setter' of 'property' objects}
    30/29    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       28    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       28    0.000    0.000    0.000    0.000 enum.py:69(_is_internal_class)
       28    0.000    0.000    0.000    0.000 enum.py:248(__init__)
       28    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
       28    0.000    0.000    0.001    0.000 enum.py:251(__set_name__)
       27    0.000    0.000    0.000    0.000 <frozen abc>:7(abstractmethod)
    27/14    0.000    0.000    0.244    0.017 {built-in method builtins.__import__}
       26    0.000    0.000    0.000    0.000 functools.py:66(wraps)
       26    0.000    0.000    0.000    0.000 enum.py:1445(_iter_member_by_def_)
       26    0.000    0.000    0.000    0.000 ipaddress.py:474(_prefix_from_prefix_string)
       26    0.000    0.000    0.000    0.000 {built-in method builtins.callable}
       26    0.000    0.000    0.000    0.000 ipaddress.py:415(_check_int_address)
       26    0.000    0.000    0.000    0.000 ipaddress.py:431(_ip_int_from_prefix)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1307(__init__)
    24/21    0.000    0.000    0.032    0.002 <frozen importlib._bootstrap_external>:1318(create_module)
       24    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1326(exec_module)
    24/21    0.030    0.001    0.032    0.002 {built-in method _imp.create_dynamic}
       24    0.003    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
       24    0.000    0.000    0.000    0.000 util.py:16(lower)
       23    0.000    0.000    0.001    0.000 typing.py:806(Optional)
       23    0.000    0.000    0.000    0.000 typing.py:553(__repr__)
       23    0.000    0.000    0.002    0.000 enum.py:498(__new__)
       22    0.001    0.000    0.992    0.045 __init__.py:1(<module>)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
       21    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
       21    0.000    0.000    0.000    0.000 {built-in method builtins.globals}
       21    0.003    0.000    0.003    0.000 {built-in method posix.listdir}
       21    0.000    0.000    0.000    0.000 ipaddress.py:1161(_make_netmask)
       21    0.000    0.000    0.000    0.000 ipaddress.py:1512(__init__)
       21    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       21    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
       20    0.000    0.000    0.000    0.000 typing.py:1256(_generic_init_subclass)
       19    0.000    0.000    0.000    0.000 typing.py:2696(overload)
       18    0.000    0.000    0.000    0.000 enum.py:1452(<lambda>)
       18    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       18    0.000    0.000    0.000    0.000 _deprecation.py:51(_deprecated_function_alias)
       17    0.000    0.000    0.000    0.000 typing.py:1807(__eq__)
       17    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
       17    0.000    0.000    0.000    0.000 ssl.py:972(_sslcopydoc)
       17    0.001    0.000    0.003    0.000 __init__.py:358(namedtuple)
       16    0.000    0.000    0.000    0.000 _parser.py:165(__delitem__)
       16    0.000    0.000    0.000    0.000 enum.py:1733(_simple_enum)
       16    0.000    0.000    0.000    0.000 __init__.py:205(_checkLevel)
       16    0.000    0.000    0.000    0.000 typing.py:1757(<genexpr>)
       16    0.000    0.000    0.000    0.000 typing.py:1803(<genexpr>)
       16    0.000    0.000    0.000    0.000 {method 'start' of 're.Match' objects}
       16    0.000    0.000    0.039    0.002 css_parser.py:306(__init__)
       16    0.000    0.000    0.000    0.000 css_parser.py:459(__init__)
       16    0.000    0.000    0.018    0.001 css_parser.py:1149(process_selectors)
       16    0.002    0.000    0.004    0.000 enum.py:1749(convert_class)
       15    0.000    0.000    0.000    0.000 enum.py:803(__members__)
       15    0.000    0.000    0.000    0.000 __init__.py:819(__init__)
       15    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
       14    0.000    0.000    0.000    0.000 enum.py:942(_get_mixins_)
       14    0.000    0.000    0.000    0.000 _compiler.py:394(_bytes_to_codes)
       14    0.000    0.000    0.000    0.000 typing.py:1742(<genexpr>)
       14    0.000    0.000    0.000    0.000 typing.py:2204(<genexpr>)
       14    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
       14    0.000    0.000    0.000    0.000 {method 'cast' of 'memoryview' objects}
       14    0.000    0.000    0.001    0.000 hashlib.py:126(__get_openssl_constructor)
       14    0.000    0.000    0.000    0.000 _deprecation.py:66(_deprecated)
       14    0.000    0.000    0.000    0.000 _deprecation.py:67(deprecate)
       14    0.000    0.000    0.000    0.000 enum.py:983(_find_data_type_)
       14    0.000    0.000    0.000    0.000 enum.py:1455(_missing_)
       12    0.000    0.000    0.000    0.000 functools.py:686(_c3_merge)
       12    0.000    0.000    0.000    0.000 typing.py:3004(<genexpr>)
       12    0.000    0.000    0.000    0.000 {method 'discard' of 'set' objects}
     12/1    0.000    0.000    0.000    0.000 functools.py:713(_c3_mro)
       11    0.000    0.000    0.000    0.000 typing.py:2528(get_origin)
       11    0.000    0.000    0.000    0.000 typing.py:1221(<genexpr>)
       11    0.000    0.000    0.000    0.000 {built-in method sys._getframemodulename}
