('Total Revenue', '281,724,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         954719 function calls (927651 primitive calls) in 9.518 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6402    0.001    0.000    0.001    0.000 _parser.py:112(__init__)
    354/7    0.001    0.000    0.585    0.084 <frozen importlib._bootstrap_external>:1020(exec_module)
      996    0.001    0.000    0.002    0.000 _parser.py:448(_uniq)
       12    0.001    0.000    0.204    0.017 subprocess.py:1177(communicate)
      226    0.001    0.000    0.011    0.000 _compiler.py:514(_compile_info)
     4528    0.001    0.000    0.001    0.000 {method 'pop' of 'list' objects}
   909/12    0.001    0.000    0.583    0.049 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
     2942    0.001    0.000    0.001    0.000 {method 'rpartition' of 'str' objects}
     3430    0.001    0.000    0.001    0.000 {method 'keys' of 'dict' objects}
       10    0.001    0.000    0.113    0.011 utils.py:52(determine_powershell)
     1099    0.001    0.000    0.002    0.000 _parser.py:311(_class_escape)
      226    0.001    0.000    0.158    0.001 _compiler.py:743(compile)
     3743    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
     3952    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     1886    0.001    0.000    0.002    0.000 typing.py:1294(_is_dunder)
     1406    0.001    0.000    0.002    0.000 filter.py:627(_match_attribute_value_helper)
     2758    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
       51    0.001    0.000    1.083    0.021 __init__.py:1(<module>)
     1437    0.001    0.000    0.002    0.000 _parser.py:171(__setitem__)
      165    0.001    0.000    0.008    0.000 typing.py:753(Union)
    56/16    0.001    0.000    0.019    0.001 css_parser.py:925(parse_selectors)
      354    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
     7083    0.001    0.000    0.001    0.000 element.py:2227(__bool__)
     2744    0.001    0.000    0.001    0.000 filter.py:292(matches_string)
       13    0.001    0.000    0.003    0.000 subprocess.py:1294(_close_pipe_fds)
     3980    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3534    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     1649    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
     1163    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      849    0.001    0.000    0.001    0.000 _parser.py:371(_escape)
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
      226    0.001    0.000    0.094    0.000 _parser.py:970(parse)
        1    0.001    0.001    3.582    3.582 financial.py:14(get_response)
     4337    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1760    0.001    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      575    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap>:162(__enter__)
       13    0.001    0.000    0.005    0.000 enum.py:894(_convert_)
  387/384    0.001    0.000    0.050    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
      798    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
     3533    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
       21    0.001    0.000    0.001    0.000 url.py:227(_encode_invalid_chars)
     3499    0.001    0.000    0.001    0.000 filter.py:259(_base_match)
      132    0.001    0.000    0.001    0.000 {built-in method _imp.source_hash}
      220    0.001    0.000    0.002    0.000 enum.py:1603(__and__)
      383    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1619(_get_spec)
       13    0.001    0.000    0.003    0.000 subprocess.py:1703(_get_handles)
       14    0.001    0.000    0.001    0.000 {built-in method _io.open}
     3280    0.001    0.000    0.001    0.000 parser.py:127(clear_cdata_mode)
       39    0.001    0.000    0.004    0.000 enum.py:498(__new__)
     2078    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      575    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:74(__new__)
      894    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1500(_path_importer_cache)
       79    0.001    0.000    0.005    0.000 css_parser.py:472(parse_attribute_selector)
     2078    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:1222(__enter__)
     1075    0.001    0.000    0.002    0.000 _compiler.py:401(_simple)
     3073    0.001    0.000    0.001    0.000 {built-in method _imp.release_lock}
      383    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
        1    0.001    0.001    0.005    0.005 packages.py:1(<module>)
      445    0.001    0.000    0.001    0.000 enum.py:825(__setattr__)
       68    0.001    0.000    0.001    0.000 enum.py:251(__set_name__)
      575    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:79(__init__)
       37    0.001    0.000    0.001    0.000 {built-in method builtins.sorted}
      167    0.001    0.000    0.001    0.000 enum.py:354(__setitem__)
     1017    0.001    0.000    0.001    0.000 enum.py:1585(_get_value)
      387    0.001    0.000    0.001    0.000 {method 'sub' of 're.Pattern' objects}
       26    0.001    0.000    0.001    0.000 contextlib.py:534(callback)
     3073    0.001    0.000    0.001    0.000 {built-in method _imp.acquire_lock}
       10    0.001    0.000    0.114    0.011 utils.py:26(windows_browser_apps_to_cmd)
      420    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:232(__init__)
      266    0.001    0.000    0.002    0.000 typing.py:260(_collect_type_parameters)
      585    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:155(_path_is_mode_type)
      420    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:445(cb)
      417    0.001    0.000    0.001    0.000 __init__.py:101(find_spec)
      165    0.000    0.000    0.001    0.000 typing.py:379(_remove_dups_flatten)
       91    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
      883    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:645(parent)
     1416    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      424    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap>:416(__enter__)
       49    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
      921    0.000    0.000    0.001    0.000 {method 'extend' of 'list' objects}
  355/352    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
      575    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:82(remove)
     1658    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      226    0.000    0.000    0.062    0.000 _compiler.py:576(_code)
     1211    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      142    0.000    0.000    0.001    0.000 css_parser.py:369(__init__)
      536    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:164(_path_isfile)
        1    0.000    0.000    0.000    0.000 entities.py:1(<module>)
       25    0.000    0.000    0.002    0.000 subprocess.py:2036(_wait)
        9    0.000    0.000    0.003    0.000 typing.py:2998(__new__)
        4    0.000    0.000    0.000    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      413    0.000    0.000    0.053    0.000 <frozen importlib._bootstrap_external>:1551(find_spec)
  259/204    0.000    0.000    0.001    0.000 _compiler.py:439(_get_literal_prefix)
      409    0.000    0.000    0.001    0.000 enum.py:695(__call__)
      252    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      355    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:48(_new_module)
      262    0.000    0.000    0.002    0.000 typing.py:1307(__init__)
      102    0.000    0.000    0.001    0.000 functools.py:36(update_wrapper)
      412    0.000    0.000    0.001    0.000 _parser.py:264(getwhile)
  922/820    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
       28    0.000    0.000    0.001    0.000 contextlib.py:303(helper)
        2    0.000    0.000    0.124    0.062 utils.py:38(read_version_from_cmd)
        3    0.000    0.000    0.000    0.000 {built-in method _scproxy._get_proxies}
  142/137    0.000    0.000    0.004    0.000 css_parser.py:395(freeze)
      132    0.000    0.000    0.000    0.000 typing.py:3794(__getattr__)
      674    0.000    0.000    0.002    0.000 typing.py:164(_type_convert)
      222    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:730(_validate_timestamp_pyc)
       10    0.000    0.000    0.001    0.000 utils.py:15(linux_browser_apps_to_cmd)
      226    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
       52    0.000    0.000    0.000    0.000 {built-in method posix.close}
      722    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
   123/64    0.000    0.000    0.000    0.000 {built-in method _abc._abc_subclasscheck}
       13    0.000    0.000    0.000    0.000 contextlib.py:485(__init__)
      460    0.000    0.000    0.000    0.000 enum.py:78(_is_private)
      772    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:67(_relax_case)
      737    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:632(cached)
      354    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1233(path_stats)
   202/40    0.000    0.000    0.426    0.011 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       10    0.000    0.000    0.001    0.000 request.py:408(add_handler)
      128    0.000    0.000    0.003    0.000 _markupbase.py:165(parse_comment)
      128    0.000    0.000    0.000    0.000 {built-in method builtins.locals}
     1745    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
      842    0.000    0.000    0.001    0.000 element.py:2168(get)
     1150    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
       32    0.000    0.000    0.000    0.000 {method 'close' of '_io.BufferedReader' objects}
      361    0.000    0.000    0.001    0.000 enum.py:37(_is_descriptor)
       13    0.000    0.000    0.001    0.000 contextlib.py:571(__exit__)
     1431    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      219    0.000    0.000    0.001    0.000 _parser.py:85(opengroup)
      417    0.000    0.000    0.000    0.000 {built-in method _imp.is_builtin}
       16    0.000    0.000    0.002    0.000 feedparser.py:218(_parsegen)
        2    0.000    0.000    0.238    0.119 os_manager.py:67(get_browser_version_from_os)
      498    0.000    0.000    0.000    0.000 enum.py:47(_is_dunder)
      820    0.000    0.000    0.000    0.000 {built-in method from_bytes}
       26    0.000    0.000    0.000    0.000 contextlib.py:479(_create_cb_wrapper)
      119    0.000    0.000    0.001    0.000 enum.py:1592(__or__)
      414    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1128(find_spec)
      424    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
      898    0.000    0.000    0.000    0.000 _parser.py:82(groups)
      100    0.000    0.000    0.000    0.000 <frozen os>:711(__getitem__)
      575    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:173(__exit__)
        7    0.000    0.000    2.905    0.415 connection.py:534(getresponse)
      409    0.000    0.000    0.001    0.000 enum.py:1152(__new__)
      755    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
        2    0.000    0.000    0.486    0.243 driver.py:39(get_driver_version_to_download)
        9    0.000    0.000    0.000    0.000 {method 'sendall' of '_socket.socket' objects}
    80/17    0.000    0.000    0.431    0.025 {built-in method builtins.__import__}
        1    0.000    0.000    0.000    0.000 alert.py:1(<module>)
        1    0.000    0.000    0.000    0.000 idnadata.py:1(<module>)
        8    0.000    0.000    0.001    0.000 feedparser.py:472(_parse_headers)
  499/494    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      529    0.000    0.000    0.002    0.000 typing.py:789(<genexpr>)
      414    0.000    0.000    0.000    0.000 {built-in method _imp.find_frozen}
        1    0.000    0.000    0.001    0.001 constant.py:1(<module>)
       90    0.000    0.000    0.005    0.000 typing.py:806(Optional)
       49    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1487(_path_hooks)
      215    0.000    0.000    0.000    0.000 typing.py:1358(__getattr__)
      316    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      575    0.000    0.000    0.000    0.000 {built-in method _weakref._remove_dead_weakref}
      769    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
       15    0.000    0.000    0.000    0.000 socket.py:221(__init__)
        1    0.000    0.000    0.003    0.003 minidom.py:1(<module>)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1598(__init__)
       16    0.000    0.000    0.000    0.000 response.py:281(get)
      142    0.000    0.000    0.002    0.000 css_types.py:203(__init__)
        5    0.000    0.000    0.003    0.001 dataclasses.py:929(_process_class)
       47    0.000    0.000    0.000    0.000 client.py:1294(putheader)
       86    0.000    0.000    0.001    0.000 css_parser.py:812(parse_combinator)
        1    0.000    0.000    0.000    0.000 ipaddress.py:671(_BaseNetwork)
       13    0.000    0.000    0.000    0.000 subprocess.py:1980(_handle_exitstatus)
       99    0.000    0.000    0.001    0.000 <frozen _collections_abc>:808(get)
       25    0.000    0.000    0.002    0.000 subprocess.py:1271(wait)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
       49    0.000    0.000    0.001    0.000 <frozen zipimport>:68(__init__)
       28    0.000    0.000    0.000    0.000 <frozen posixpath>:176(dirname)
        8    0.000    0.000    0.001    0.000 client.py:1138(putrequest)
        7    0.000    0.000    3.147    0.450 connectionpool.py:592(urlopen)
      340    0.000    0.000    0.162    0.000 __init__.py:287(compile)
      417    0.000    0.000    0.000    0.000 _virtualenv.py:52(find_spec)
      768    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
       58    0.000    0.000    0.002    0.000 typing.py:1634(__getitem__)
      576    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
      128    0.000    0.000    0.002    0.000 _htmlparser.py:285(handle_comment)
       14    0.000    0.000    0.001    0.000 url.py:367(parse_url)
      170    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        9    0.000    0.000    0.299    0.033 webdriver.py:1(<module>)
        1    0.000    0.000    0.005    0.005 service.py:200(_start_process)
       13    0.000    0.000    0.000    0.000 {built-in method builtins.dir}
      228    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
        7    0.000    0.000    0.002    0.000 connection.py:418(request)
       94    0.000    0.000    0.000    0.000 _parser.py:273(getuntil)
       75    0.000    0.000    0.000    0.000 enum.py:1055(_add_member_)
      432    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
      432    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
     1063    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      304    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      151    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:463(_lock_unlock_module)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
        5    0.000    0.000    2.811    0.562 remote_connection.py:381(execute)
      417    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:982(find_spec)
      460    0.000    0.000    0.000    0.000 enum.py:58(_is_sunder)
       27    0.000    0.000    0.001    0.000 parse.py:374(urlparse)
        6    0.000    0.000    0.014    0.002 utils.py:1(<module>)
      520    0.000    0.000    0.000    0.000 typing.py:1765(__eq__)
      182    0.000    0.000    0.000    0.000 enum.py:760(__delattr__)
        8    0.000    0.000    2.956    0.369 client.py:324(begin)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
       10    0.000    0.000    0.001    0.000 _collections.py:335(extend)
