Error: name 'Options' is not defined
         453531 function calls (429260 primitive calls) in 0.406 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 typing.py:2054(__new__)
      127    0.000    0.000    0.000    0.000 ssl.py:125(<lambda>)
       41    0.000    0.000    0.000    0.000 functools.py:504(lru_cache)
        1    0.000    0.000    0.001    0.001 calendar.py:1(<module>)
       31    0.000    0.000    0.000    0.000 ipaddress.py:1286(__init__)
      107    0.000    0.000    0.000    0.000 constant.py:398(<lambda>)
        1    0.000    0.000    0.000    0.000 element.py:1577(Tag)
        1    0.000    0.000    0.030    0.030 compat.py:1(<module>)
        1    0.000    0.000    0.005    0.005 hashlib.py:1(<module>)
      167    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1184(__init__)
        1    0.000    0.000    0.006    0.006 css_match.py:1(<module>)
      127    0.000    0.000    0.000    0.000 ssl.py:130(<lambda>)
       98    0.000    0.000    0.000    0.000 dammit.py:197(<genexpr>)
        7    0.000    0.000    0.000    0.000 enum.py:1010(_find_new_)
        1    0.000    0.000    0.000    0.000 inspect.py:2373(_signature_from_function)
      270    0.000    0.000    0.000    0.000 enum.py:1213(__init__)
      127    0.000    0.000    0.000    0.000 ssl.py:140(<lambda>)
      127    0.000    0.000    0.000    0.000 ssl.py:135(<lambda>)
       22    0.000    0.000    0.000    0.000 ipaddress.py:1187(_ip_int_from_string)
        1    0.000    0.000    0.000    0.000 {method 'bind' of '_socket.socket' objects}
        1    0.000    0.000    0.009    0.009 cd.py:1(<module>)
        1    0.000    0.000    0.068    0.068 formatter.py:1(<module>)
      127    0.000    0.000    0.000    0.000 ssl.py:150(<lambda>)
        1    0.000    0.000    0.020    0.020 sessions.py:1(<module>)
      127    0.000    0.000    0.000    0.000 ssl.py:145(<lambda>)
        2    0.000    0.000    0.001    0.000 _collections.py:1(<module>)
       10    0.000    0.000    0.000    0.000 {method '__init_subclass__' of 'object' objects}
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:653(has_location)
       14    0.000    0.000    0.000    0.000 {method 'tolist' of 'memoryview' objects}
      194    0.000    0.000    0.000    0.000 status_codes.py:117(<genexpr>)
        1    0.000    0.000    0.001    0.001 ssl_.py:225(create_urllib3_context)
        1    0.000    0.000    0.000    0.000 css_match.py:79(_DocumentNav)
       14    0.000    0.000    0.000    0.000 _deprecation.py:67(deprecate)
        1    0.000    0.000    0.000    0.000 _colorize.py:1(<module>)
